id,item,price,description,details,notes
99,"Lamb - Racks, Frenched",54.72,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,odio porttitor id,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
100,Garlic - Peeled,71.11,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",ultricies eu nibh quisque,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
101,Cheese - Brie,83.53,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",ultricies eu nibh quisque id,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
102,Irish Cream - Baileys,21.51,Pellentesque ultrices mattis odio. Donec vitae nisi.,lobortis est phasellus,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
103,Juice Peach Nectar,47.67,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",orci luctus et ultrices posuere,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
104,Eggwhite Frozen,91.76,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,ac est lacinia nisi,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
105,Chicken - Whole Fryers,24.03,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",a nibh in quis,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
106,"Bread - Bagels, Mini",30.63,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",augue vel accumsan tellus,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
107,Bread - 10 Grain,78.36,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",habitasse platea dictumst maecenas,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
108,Pop - Club Soda Can,94.62,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",posuere felis sed lacus,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
109,Energy Drink,24.36,Phasellus in felis.,nec nisi vulputate,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
110,Sour Cream,89.52,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,euismod scelerisque quam,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
111,Table Cloth 54x54 White,94.68,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",curae duis faucibus accumsan odio,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
112,Wine - Charddonnay Errazuriz,84.8,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,eget nunc donec,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
113,Breakfast Quesadillas,24.05,Etiam justo. Etiam pretium iaculis justo.,ac tellus semper interdum mauris,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
114,Flower - Potmums,19.14,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,vitae quam suspendisse,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
115,Wine - Ej Gallo Sierra Valley,74.92,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,nulla nisl nunc,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
116,Soup Campbells,27.07,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",nam dui proin,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
117,Wasabi Powder,95.29,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",libero nam dui proin leo,Fusce consequat. Nulla nisl. Nunc nisl.
118,Pomegranates,15.85,Pellentesque viverra pede ac diam.,venenatis turpis enim blandit,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
119,Beef - Eye Of Round,13.07,Morbi porttitor lorem id ligula.,eros suspendisse accumsan tortor,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
120,Horseradish Root,64.54,Nam nulla.,quam turpis adipiscing lorem vitae,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
121,Bread - Multigrain Oval,15.35,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",in eleifend quam,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
122,Garbage Bag - Clear,42.77,Sed ante. Vivamus tortor. Duis mattis egestas metus.,feugiat et eros vestibulum,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
123,"Lamb - Loin, Trimmed, Boneless",43.25,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,gravida sem praesent id,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
124,Pernod,87.05,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,adipiscing molestie hendrerit,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
125,Towel - Roll White,52.31,Sed ante. Vivamus tortor. Duis mattis egestas metus.,nulla suspendisse potenti cras in,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
126,Pepper - Chilli Seeds Mild,40.44,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",cras in purus eu,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
127,Tomatoes - Heirloom,42.87,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",praesent blandit lacinia erat,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
128,Mayonnaise - Individual Pkg,38.57,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,urna ut tellus,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
129,Versatainer Nc - 888,74.65,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",blandit mi in porttitor,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
130,Garlic Powder,37.22,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,nullam molestie nibh,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
131,Ecolab - Hand Soap Form Antibac,44.51,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",justo morbi ut odio cras,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
132,Wine - Alsace Gewurztraminer,70.88,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.,amet eleifend pede libero quis,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
133,Flour - Masa De Harina Mexican,72.55,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,augue vestibulum rutrum rutrum neque,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
134,"Chicken - White Meat, No Tender",94.33,Nam nulla.,nulla tempus vivamus in,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
135,Potatoes - Peeled,56.13,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,at nulla suspendisse,Fusce consequat. Nulla nisl. Nunc nisl.
136,Cleaner - Pine Sol,21.12,Aliquam quis turpis eget elit sodales scelerisque.,tempus vel pede morbi,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
137,Goulash Seasoning,4.69,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,fusce posuere felis sed,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
138,"Pasta - Cappellini, Dry",50.51,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",vel enim sit amet,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
139,Pork - Backs - Boneless,95.95,Sed sagittis.,lectus suspendisse potenti,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
140,"Split Peas - Green, Dry",52.04,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",volutpat quam pede lobortis ligula,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
141,Bread Crumbs - Panko,10.38,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",mi in porttitor pede justo,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
142,Beer - Maudite,64.66,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",eget massa tempor convallis nulla,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
143,Mace Ground,16.89,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",amet cursus id,Phasellus in felis. Donec semper sapien a libero. Nam dui.
144,Onions - Red,81.36,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",ac enim in tempor,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
145,Lettuce - Radicchio,60.72,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",congue etiam justo etiam,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
146,Red Currants,5.23,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.,nulla ut erat,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
147,Salt - Celery,71.48,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",dui maecenas tristique est et,Phasellus in felis. Donec semper sapien a libero. Nam dui.
148,Beef - Tenderloin,18.59,In quis justo.,mi nulla ac enim,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
149,Beer - Tetleys,32.17,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",sit amet nunc,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
150,Island Oasis - Banana Daiquiri,37.79,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",quis turpis eget,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
151,Appetizer - Chicken Satay,38.17,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,magna vestibulum aliquet ultrices erat,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
152,Wine - Puligny Montrachet A.,5.28,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,venenatis lacinia aenean sit,Phasellus in felis. Donec semper sapien a libero. Nam dui.
153,Jameson Irish Whiskey,85.27,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,in faucibus orci,In congue. Etiam justo. Etiam pretium iaculis justo.
154,Pork - Ham Hocks - Smoked,33.08,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",duis at velit eu,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
155,Chicken - White Meat With Tender,41.57,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",id sapien in sapien iaculis,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
156,Milk - 1%,67.4,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",metus aenean fermentum donec ut,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
157,Chips - Potato Jalapeno,39.14,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",nec condimentum neque sapien placerat,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
